,time,sample_rtt,is_pingpong
145,5.541465,9.651999999999994,1.0
146,5.564141,15.613000000000099,1.0
147,5.584165,10.031000000000567,1.0
148,5.60749,10.864999999999903,1.0
149,5.621376,18.148000000000053,1.0
150,5.652971,8.461999999999748,1.0
151,5.67429,9.557000000000038,1.0
152,5.697112,31.56099999999995,1.0
153,5.741876,9.295999999999971,1.0
154,5.764078,12.949000000000765,1.0
155,5.779709,16.645999999999717,1.0
156,5.808503,13.016999999999612,1.0
157,5.834658,11.573000000000278,1.0
158,5.859227,8.541000000000132,1.0
159,5.880702,9.25999999999938,1.0
160,5.902791,9.233000000000047,1.0
161,5.912024,237.72099999999963,0.0
162,5.92501,8.411999999999864,1.0
163,5.945815,7.767000000000301,1.0
164,5.9668,54.47199999999963,1.0
165,6.036771,9.235000000000326,1.0
166,6.045972,226.318,0.0
