,time,src,dst,seq,ack,len,payload,role
58,1.343344,123.57.84.206,192.168.65.66,3740,132,131,"b""\x8f\xbe\x83A\x10\xcc\xe1/\xcb\xbep\x93.\xe1[\xee\xa8+#\x96-A\xea/\xcc\xd2\xbaJ\x98\xf9\xc2\xbf\xec\x04\x85\xfc\xbc(\x84M&\xdb\xab\xfd\xb3\xe3\x01\x16\x80L\xebZ\x853\xf2#\x83\x87;\x8bO\xf9\xf0\xf2\xc3\xceX0\x0f\xf9_\x08\xaf\x88\xd0\xcc\x89\x16\xda\xa7\xcd-\xdb/S\xd6w\xd7\xd7.\x8a(\x01\xfe\x99\x19?\x1e\xe7\xef\xb6\x93\x85xz1\x13_K\xd9\xca\xfa \xbag\xcddH\xae\xe9`'\xac\x8f\x92\x95\xdcg\xb2w\xae""",0
59,1.343344,123.57.84.206,192.168.65.66,3871,132,26,b'1\x15\xfa\x85\x00\xd6\xf2?\xadq\xd9u\xbe\xb1\xe5)\x00\xfb<TB\xf5\x8f7\xfd\xc4',0
60,1.343411,192.168.65.66,123.57.84.206,168,3897,0,,1
61,1.349344,123.57.84.206,192.168.65.66,3897,168,0,,0
62,1.352621,192.168.65.66,123.57.84.206,168,3897,28,b'\xa4(\xc5\xc5\xf7\xba\xf2J\xe7I]\xb5[\x87n\xf7E\xf9\x850\xcf\xf6nPP\x95tB',1
63,1.391381,123.57.84.206,192.168.65.66,3897,168,21,"b""\\\xf3\xc6\x9b\xa3\x861\xc7\xd4\xe3\xda\xe1s'\x1b\x99\x1f>\x06\xc1\x13""",0
64,1.391381,123.57.84.206,192.168.65.66,3918,168,6,b'2+\x1f2\xe3S',0
65,1.391453,192.168.65.66,123.57.84.206,196,3924,0,,1
66,1.396107,123.57.84.206,192.168.65.66,3924,196,0,,0
67,1.407642,192.168.65.66,123.57.84.206,196,3924,36,b'\xb4\xec\xd9*\xae\xb0\xbc{8|%\x98\xdc\x02$r\xea\xa5P\x94\x1e\xa1w\x85\x94\x8a\x15\xe4\xfa|\x95\x00U\xaeK\xfa',1
68,1.442328,123.57.84.206,192.168.65.66,3924,196,164,"b'\xdaI\xd3\x18\xaf\xb9\xbe.3\x03\x87*b\xdf\xab\x05)\x8d\xf6\xf8b\x98L\x88A2\x0b\xe8\xb3\x93\xce\xe2\x1fG\x19\xe0 z@\xb8&\xf3\x8b\'\xdf\xbeN\x9dh\xe7\x86\x9cm3<i\r\xbf\x0e~\xdc\x96\xbb\xac\xa3\xfc\xc7F\xa7~_aPz\x94\x8c*B%\\\xfe}\xd2\x07\xbb\x94\xcc\xfa\xe2\x98\x87\x96\x87\xbd""b[\xd7-4<0\xb3\'\xa0E@\xe7\x02\xd5\tP<\xa0\xefd\x96E\xb1d\xb4\xec/_P\xb7\xcc\x9a\xf2\xc9\xcb\x1e\x9d@`\xdb\xd5\x9e\xf26>ry9\x00k\x18\xcb\x16c\xa9\x1b\xa3t\xe3\xe0\xd5?sd\xd2\xb9*\xad'",0
69,1.451366,123.57.84.206,192.168.65.66,4088,232,0,,0
70,1.455881,192.168.65.66,123.57.84.206,232,4088,28,"b'\xbf/!\x8e\x9f7\x7f\xd9\xe7K""q\xbf\xad\x1f\x81%\xb7)y\x18\xec\xa4\xa0\xb7V.\xfa'",1
