,time,src,dst,seq,ack,len,payload,role
41,0.889807,192.168.65.66,123.57.84.206,61,1411,36,"b'\xe6\x8bz\x8c\x91[\xde\xc8\xcdN\xde\x8c\xf2DxW\x18ot\\$\xa6\xcd%\x7f\xdf\x97\xe8\x0f""\x8c\'&S\xdc\xb5'",1
42,0.907439,123.57.84.206,192.168.65.66,1411,61,13,b'l\x832\xd1\x1f\xc7\x03~\x1a\xb0Lw\x7f',0
43,0.907439,123.57.84.206,192.168.65.66,1424,61,295,"b'\r>t\x15\x18\x8de\xef\x0c?\xb9\xe9\xcd\x9e\xc2\xdf\x07C*I\x12\xbc\x8a\x8e%\xc4\x96KV\xc5\x0b,|\xbf\xc3Fp|\x8c\xd9[\xce9\xaf,\xe3\xcd\xe5K1\x8f\xe6\x17\x0f@\n;{\x9e\x9e\xed\x83\xd4\x85\x0c\xba\xf8\xca\xf01r\x1alzs\xf1g\x9f\x04Z@sw[\xacW\xb0?\xc7\xeec\x92\x0beY\xee\x19\x1a\xfaaN=S:\xf4/h\x82x{\x05\xcct\xb4\n\x86W\xf0AM\xd5\x1f\x88SaNb\x85\xa01\x88\x82\x01\x90\xc2^\xa1\x94n\xb2\xba\xb4\xf6b\x84\xc0\xdfBr\xea\xd9\xeaa\xc8\x9e\x02\x96PM\x0c\xcev\x88\xad\x87\x8b\xf9\x91y\x91\xdd\xa3\xc7}:\xff\x1f\xec\x12\x8f\xf7iHM&\xe0\xdb\x04i\xaf\xa2\xac\xa37c\x91\x88\x8dR\xfc\xe5\x81\xc10\xad\x05\xf1\xde\xeb~x\x89\x0c\xa7\x12\xf9\xbd\xef\x13-\xf7L\xdf\xc6E\xdc\xd6\xa5\xdc\x86\xf7\xec\xa4?\x9dN\x85\x0b\xd3\xb1\xf6\x8d\xd6\t\xf3q=m\x9d\x81\xf0\xd4O\x8b\x7fY\x83!n\xbe\xa0;\xa7DB\r\xe5v+\xdb\x0b\x9dQh\xcd\x08\x8c\xc9""i\xf3;g\xdd0!\xa2\xf6\xc5*\xabRg\x88\xbc'",0
44,0.907508,192.168.65.66,123.57.84.206,97,1719,0,,1
45,0.938457,192.168.65.66,123.57.84.206,97,1719,28,b'\xb8\xa3\x0e\x96\xa2\xd9\xb1M\xa1\\\xdea`\xc9O\xc5\xbd\x92\xd98\xb2X\xb0Jm\x8a~\xf0',1
46,0.95864,123.57.84.206,192.168.65.66,1719,97,27,b'\x18\x1b3\x997\xeey)\xb2\xb7\xb2\xc5\x9e\x05J9\x85\xa7\xfc\x10\x7f\xbc\xfb\r\xb5<c',0
47,0.95864,123.57.84.206,192.168.65.66,1746,97,55,"b'\xbb\x96\xd5}\xbaLR\xdc\x13\xc8\xc6w\xbc\xa6p`qF\xaa9\x88\xaa\xc9g\xce!\xdd\xd6\xe7\x0e\xe1\x1d\xeawR\xe8+\xf6\xaf\x17\xb1\xddn,j\xc0\xe2\x90\x0e?\xc4.\x16\xd7R'",0
48,0.95864,123.57.84.206,192.168.65.66,1801,97,61,b'\x14}JI@\xc9\x00vr\x857\x08\x9fg\xe6\xf8\xadA\nU\xbapD\x12D\x83\x8e\xb1\xf4\xca`\xbb\x92\xdfq\xf9\x7fP\xf4\xd1\xb3\xe6\xf3\xa2\x85\xf8\x1d\xd1ZB\t\x0b\xf7\xa9\x86\xcb\xff$\xfbd ',0
49,0.95864,123.57.84.206,192.168.65.66,1862,97,44,b'\x80\r\x15l\xda\xaa/\xb7!g0\xe6\x95(\xdc\x18j~\r\x8e\xe9\x9a\x94\xd6\xf7\xc8\xa4?L\x02\xa8\x1a\xab\x1a\x12\x17\xe7&\xd1\x11\xf0[\xb33',0
50,0.95864,123.57.84.206,192.168.65.66,1906,97,6,b'\xadW4\xc4\xe2Y',0
51,0.958735,192.168.65.66,123.57.84.206,125,1912,0,,1
